add basket himalaya | https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1
add basket houdini | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket hound | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/classics_6/index.html 1
add basket hous | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket kierkegaard | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/philosophy_7/index.html 1
add basket libertarian | https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1
add basket lilac | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket love | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket lumberjan | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/sequential-art_5/index.html 3
add basket marriag | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket media | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/mystery_3/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/classics_6/index.html 1
add basket medit | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/philosophy_7/index.html 1
